# Community_Name,District_Name
ABU HAIL,AL AWEER
AL AWIR FIRST,AL AWEER
AL AWIR SECOND,AL AWEER
AL BADA',JUMEIRAH
AL BARAHA,DEIRA
AL BARSHA FIRST,HADAEQ MOHAMMAD BIN RASHID
AL BARSHA SECOND,HADAEQ MOHAMMAD BIN RASHID
AL BARSHA SOUTH FIFTH,HADAEQ MOHAMMAD BIN RASHID
AL BARSHA SOUTH FIRST,HADAEQ MOHAMMAD BIN RASHID
AL BARSHA SOUTH FOURTH,HADAEQ MOHAMMAD BIN RASHID
AL BARSHA SOUTH SECOND,HADAEQ MOHAMMAD BIN RASHID
AL BARSHA SOUTH THIRD,HADAEQ MOHAMMAD BIN RASHID
AL BARSHA THIRD,HADAEQ MOHAMMAD BIN RASHID
AL BUTEEN,DEIRA
AL CORNICHE,DEIRA
AL DAGHAYA,DEIRA
AL FAGAA,MADINAT AL QUDRA
AL GARHOUD,DEIRA
AL HAMRIYA PORT,DEIRA
AL HAMRIYA,BUR DUBAI
AL HATHMAH,MADINAT AL QUDRA
AL HEBIAH FIFTH,DUBAI LAND
AL HEBIAH FIRST,DUBAI LAND
AL HEBIAH FOURTH,DUBAI LAND
AL HEBIAH SECOND,DUBAI LAND
AL HEBIAH THIRD,DUBAI LAND
AL HUDAIBA,BUR DUBAI
AL JADAF,RAS AL KHOR
AL JAFILIYA,BUR DUBAI
AL KARAMA,BUR DUBAI
AL KHABAISI,DEIRA
AL KHEERAN FIRST,RAS AL KHOR
AL KHEERAN,RAS AL KHOR
AL KHWANEEJ FIRST,MUSHRIF
AL KHWANEEJ SECOND,MUSHRIF
AL KIFAF,ZABEEL
AL LAYAN 1,MADINAT AL QUDRA
AL LAYAN 2,MADINAT AL QUDRA
AL LESAILY,MADINAT AL QUDRA
AL MAHA,AL AWEER
AL MAMZAR,DEIRA
AL MANARA,JUMEIRAH
AL MARMOOM,MADINAT AL QUDRA
AL MERKADH,HADAEQ MOHAMMAD BIN RASHID
AL MERYAL,AL AWEER
AL MIZHAR FIRST,MUSHRIF
AL MIZHAR SECOND,MUSHRIF
AL MURAQQABAT,DEIRA
AL MURAR,DEIRA
AL MUTEENA,DEIRA
AL NAHDA FIRST,DEIRA
AL NAHDA SECOND,DEIRA
AL O'SHOOSH,MADINAT AL QUDRA
AL QOUZ FIRST,HADAEQ MOHAMMAD BIN RASHID
