# Schema: int32 x, int32 y, rstring operation, int32 result
1001,1,add,0
1002,2,subtract,0
1003,3,multiply,0
1004,4,divide,0
1005,5,add,0
1006,6,subtract,0
1007,7,multiply,0
1008,8,divide,0
1009,9,add,0
1010,10,subtract,0
1011,11,multiply,0
1012,12,divide,0
1013,13,add,0
1014,14,subtract,0
1015,15,multiply,0
1016,16,divide,0
1017,17,add,0
1018,18,subtract,0
1019,19,multiply,0
1020,20,divide,0
1021,21,add,0
1022,22,subtract,0
1023,23,multiply,0
1024,24,divide,0
1025,25,add,0
1026,26,subtract,0
1027,27,multiply,0
1028,28,divide,0
1029,29,add,0
1030,30,subtract,0
1031,31,multiply,0
1032,32,divide,0
1033,33,add,0
1034,34,subtract,0
1035,35,multiply,0
1036,36,divide,0
1037,37,add,0
1038,38,subtract,0
1039,39,multiply,0
1040,40,divide,0
1041,41,add,0
1042,42,subtract,0
1043,43,multiply,0
1044,44,divide,0
1045,45,add,0
1046,46,subtract,0
1047,47,multiply,0
1048,48,divide,0
1049,49,add,0
1050,50,subtract,0
1051,51,multiply,0
1052,52,divide,0
1053,53,add,0
1054,54,subtract,0
1055,55,multiply,0
1056,56,divide,0
1057,57,add,0
1058,58,subtract,0
1059,59,multiply,0
1060,60,divide,0
1061,61,add,0
1062,62,subtract,0
1063,63,multiply,0
1064,64,divide,0
1065,65,add,0
1066,66,subtract,0
1067,67,multiply,0
1068,68,divide,0
1069,69,add,0
1070,70,subtract,0
1071,71,multiply,0
1072,72,divide,0
1073,73,add,0
1074,74,subtract,0
1075,75,multiply,0
1076,76,divide,0
1077,77,add,0
1078,78,subtract,0
1079,79,multiply,0
1080,80,divide,0
1081,81,add,0
1082,82,subtract,0
1083,83,multiply,0
1084,84,divide,0
1085,85,add,0
1086,86,subtract,0
1087,87,multiply,0
1088,88,divide,0
1089,89,add,0
1090,90,subtract,0
1091,91,multiply,0
1092,92,divide,0
1093,93,add,0
1094,94,subtract,0
1095,95,multiply,0
1096,96,divide,0
1097,97,add,0
1098,98,subtract,0
1099,99,multiply,0
1100,100,divide,0
